用語,コード,カテゴリ,説明,総意率3,総意率2,総意率1,情報Ⅱ,情報Ⅰ,社情H29,情科H29,社情H25,情科H25,情報A3,情報B3,情報C3,情報A2,情報B2,情報C2,情報A1,情報B1,情報C1
度数分布表,４ウ,度数分布,各階級に属するものの個数がどのように散らばっているかを示す表,0.608 ,0.489 ,,実21,実11実12数11数12日11日12,数S1第S1,実J1数J1日J1,第s1,実j1,,,,,,,,,
正規分布,４ウ,度数分布,統計学の多くの場面で使われる左右対称で釣鐘型の連続型確率分布,0.426 ,0.238 ,,日21,実11実12開11,第S1,第J1,第s1,,,,,,,,,,
偏差値,４ウ,度数分布,データの値を、平均50、標準偏差10のデータに変換(標準化)した値,0.376 ,0.332 ,,,実14数11,数S1第S1,数J1第J1,第s1,,,,,,,,,,
ヒストグラム,４ウ;２イ,度数分布,柱状グラフ。度数分布を連続した柱で表したグラフ,0.805 ,0.489 ,,東21実21,実11実12実13開11数11数12日11日12第11,数S1第S1,実J1数J1第J1,第s1,実j1,,,,,,,,,
フィールドワーク,４ウ,調査,フィールド(研究対象の現地)を訪れ、直接観察したり話を聞いて研究を進めること,0.426 ,0.238 ,0.328 ,,実13実14日12,実S2,,実s2,,,,実C1実f1,,,実f1,,,実f1
全数調査,４ウ,調査,対象となるものを全て調べる調査,0.574 ,0.424 ,0.273 ,東21日21,東12実13日11第11,東S1東S2第S1,日j1,東s1第s1,日j1,東A1,,,東d1,,,東d1,,
標本調査,４ウ,調査,母集団の一部を抽出して調べる調査,0.574 ,0.437 ,0.273 ,東21日21,東12実13日11第11,東S1東S2第S1,第J1日j1,東s1第s1,日j1,東A1,,,東d1,,,東d1,,
正規化,４ウ,調査,データのスケールを扱いやすいものに整えること,0.376 ,0.915 ,0.776 ,東21,東12日11,,東J1実J1実J2数J1日J1第J1数j1日j1,第s1,東j1実j1数j1日j1,,実B1啓B1数B1日B1第B1実b1教b1実e1,,,実b1教b1日b1第b1実e1教e1,,,実e1教e1学e1,
抽出,４ウ,調査,母集団から無作為に一部を選び出すこと,0.426 ,0.280 ,0.482 ,,東12実11実12,東S1東S2,,東s1,,東A1開A1教A1日A1日a1一d1,,実c1一c1実f1,日a1一d1,,実c1一c1実f1,一d1,,実f1
インタビュー|インタビュー調査,４ウ;１ア,調査,対象者から話を聞くことによって情報を集める調査手法,0.541 ,0.555 ,0.413 ,東21,東12日11日12第11,東S1東S2日S2日s1日s2,東J1日J1日j1,東s1日s1日s2第s1,日j1,教A1啓A1日a1,,啓C1,日a1東d1,,啓f1,東d1,,啓f1
アンケート,４ウ;１ア,調査,事柄についての意見や感想を決まった書式に記入するなどして集める調査手法,0.663 ,0.640 ,0.491 ,東21,東11東12数12日11日12第11,東S1東S2数S2日S1日S2第S1日s2,日J1,東s1日s2第s1,,東A1教A1啓A1日A1日a1,,啓C1日C1,日a1東d1,,日c1啓f1,東d1日d1,清e1日e1,啓f1日f1
折れ線グラフ,４ウ;２イ,データのグラフ化,値の推移を頂点を互いにつなげた折線で表したグラフ,0.426 ,0.585 ,0.516 ,,実13実14日11,実S1数S1第S1日s2,実J2数J1第J1,実s1日s2第s1,,一d1,,第C1一c1実f1,東d1一d1,,一c1実f1一f1,東d1一d1,,実f1一f1
棒グラフ,４ウ;２イ,データのグラフ化,総量の変化を柱状の領域を並べて表したグラフ,0.426 ,0.525 ,0.516 ,,実13実14日11,実S1第S1日s2,実J2第J1,実s1日s2第s1,,清a1一d1,,第C1一c1実f1,清a1東d1一d1,,一c1実f1一f1,東d1清d1一d1,,実f1一f1
円グラフ,４ウ;２イ,データのグラフ化,あるものの内訳を円の中のパイ状の領域で表したグラフ,0.426 ,0.525 ,0.414 ,,実13実14日11,実S1数S1第S1日s2,実J2数J1第J1,実s1日s2,,一d1,,実f1,東d1一d1,,実f1一f1,東d1一d1,,実f1一f1
グラフ,４ウ;２イ,データのグラフ化,(1) データを読み取れる図 (2) 頂点と辺から成る図形,0.568 ,0.518 ,0.554 ,東21,東11東12実13実14第11,東S1東S2日S1日S2日s1,東J1実J1,東s1日s1,東j1実j2,東A1教A1数A1日A1日a1,,実C1数C1実c1教c1,日a1第a1東d1,第b1,実c1教c1教f1啓f1,東d1,,教f1啓f1
箱ひげ図,４ウ,データのグラフ化,データのばらつき具合を示すのに用いる図で、最大・最小・第1〜3四分位数が読み取れる,0.608 ,0.420 ,,実21,実11実12実13実14数12日11,東S2実S1数S1,東J1数J1,東s1,東j1,,,,,,,,,
AND検索,４ウ;２ア,検索,複数の条件の「かつ」を取る検索,0.541 ,0.562 ,0.803 ,,東11東12実14第11,東S1東S2数S2第S1,東J1実J1第J1,東s1,東j1実j1,東A1実A1開A1教A1啓A1啓A2数A1日A1実a1一a1日a1実d1,実B1日B1第B1実b1教b1実e1,実C1数C1実c1教c1一c1実f1,実a1開a1教a1一a1日a1東d1実d1教d1啓d1学d1,実b1教b1日b1実e1教e1,実c1教c1一c1実f1教f1,東d1実d1開d1教d1啓d1学d1,実e1教e1,実f1教f1
OR検索,４ウ;２ア,検索,複数の条件の「または」を取る検索,0.541 ,0.562 ,0.803 ,,東11東12実14第11,東S2数S2第S1,東J1実J1第J1,東s1,東j1実j1,東A1実A1開A1教A1啓A1啓A2数A1日A1実a1一a1日a1実d1,実B1日B1第B1実b1教b1実e1,実C1数C1実c1教c1一c1実f1,実a1開a1教a1一a1日a1東d1実d1教d1啓d1学d1,実b1教b1日b1実e1教e1,実c1教c1一c1実f1教f1,東d1実d1開d1教d1啓d1学d1,実e1教e1,実f1教f1
NOT検索,４ウ;２ア,検索,ある条件に対し「それ以外」を取る検索,0.541 ,0.562 ,0.803 ,,東11東12実14第11,東S1東S2数S2第S1,東J1実J1第J1,東s1,東j1実j1,東A1実A1開A1教A1啓A1啓A2数A1日A1実a1一a1日a1実d1,実B1日B1第B1実b1教b1実e1,実C1数C1実c1教c1一c1実f1,実a1開a1教a1一a1日a1東d1実d1教d1啓d1学d1,実b1教b1日b1実e1教e1,実c1教c1一c1実f1教f1,東d1実d1開d1教d1啓d1学d1,実e1教e1,実f1教f1
キーワード,４ウ,検索,(1) 注目すべき語 (2) 単語を使用した検索やパラメタ,0.376 ,0.400 ,0.815 ,東21実21,東12第11,東S2数S2第S1,第J1,東s1,東j1,東A1実A2教A1啓A2数A1日A1実a1清a1日a1実d1,実B1啓B1日B1実b1実e1オe1,数C1教c1オf1,実a1開a1教a1清a1数a1日a1東d1実d1教d1暁d1,実b1開b1日b1第b1実e1啓e1オe1,教c1数c1教f1啓f1オf1,東d1実d1開d1教d1清d1日d1暁d1,実e1開e1啓e1オe1学e1,教f1啓f1オf1
さくいん|インデックス|索引,４ウ,検索,(1) 本の末尾にある語と出現ページの表 (2) 単語の辞書 (3)プログラミング言語で配列などの要素を特定する数。添字。,0.452 ,0.239 ,0.622 ,実21,東12実11実12実13,東S1,実J1,,実j1,東A1実A2実a1,開B1教b1,,実a1第a1東d1,開b1教b1日b1啓e1,,東d1第d1,開e1清e1啓e1,
構造化されていないデータ|非構造化データ,４ウ,非構造化データ,旧来のデータベースのように構造化されていないデータ,0.426 ,,,東21,数12日11日12,,,,,,,,,,,,,
NoSQL,４ウ;４イ,非構造化データ,RDBでは対応できない柔軟性や高性能に対応したデータベース,0.452 ,,,日21,実11実12実13日11,,,,,,,,,,,,,
キー・バリュー形式,４ウ;４イ,非構造化データ,キーとバリューを合わせたレコードの集まりというデータモデル,0.376 ,,,,数12日12,,,,,,,,,,,,,
表計算ソフト|表計算ソフトウェア,４ウ,表計算ソフトウェア,Excelに代表される、縦横に並んだセルにデータや数式を打ち込み自動処理を行うソフト,0.701 ,0.640 ,0.887 ,実21,東11東12実14数12日11第11,東S1東S2数S1数S2日S2第S1日s2,東J1実J2数J1,東s1日s2第s1,東j1実j2,開A1教A1啓A2日A1第A1実a1清a1一a1日a1実d1,開B1啓B1教b1実e1オe1,実C1第C1実c1教c1実f1オf1,実a1開a1教a1清a1一a1日a1第a1東d1実d1教d1啓d1暁d1オd1学d1,開b1教b1第b1実e1教e1啓e1オe1,実c1教c1第c1実f1教f1啓f1オf1,東d1実d1開d1教d1清d1啓d1暁d1オd1第d1学d1,実e1開e1教e1清e1啓e1数e1オe1学e1,実f1教f1清f1啓f1オf1第f1
行,４ウ,表計算ソフトウェア,横方向のセルの集まり,0.452 ,0.238 ,0.744 ,実21,実11実12実13第11,日s2,実J1実J2,日s2,,数A1第A1,実B1啓B1数B1実b1教b1実e1,数C1,数a1第a1,実b1教b1数b1第b1実e1啓e1,数c1,数d1第d1,実e1啓e1学e1,数f1
列,４ウ,表計算ソフトウェア,縦方向のセルの集まり,0.452 ,0.238 ,0.695 ,実21,実11実12実13第11,日s2,実J1実J2,日s2,,数A1第A1,実B1啓B1数B1実b1実e1,数C1,数a1第a1,実b1数b1第b1実e1啓e1,数c1,数d1第d1,実e1啓e1学e1,数f1
相対参照,４ウ,表計算ソフトウェア,縦又は横方向に現在位置からいくつプラス(マイナス)のセルという参照方法,0.493 ,0.536 ,0.409 ,,実11実12実13実14日11,実S1数S2,東J1実J1,実s1,東j1実j1実j2,東A1一a1一d1,実B1実b1実e1,,一a1一d1,実b1実e1,一f1,一d1,実e1,一f1
絶対参照,４ウ,表計算ソフトウェア,現在位置に関係なくどのセルという参照方法,0.608 ,0.605 ,0.409 ,,実11実12実13実14日11第11,実S1数S2,東J1実J1第J1,実s1,東j1実j1実j2,東A1一a1一d1,実B1実b1実e1,,一a1一d1,実b1実e1,一f1,一d1,実e1,一f1
オートフィル,４ウ,表計算ソフトウェア,連続した番号や日付等を並んだセルに一度に入力する操作,0.452 ,0.076 ,,,実11実12実13第11,第S1,,,,,,,,,,,,
降順,４ウ;３イ,表計算ソフトウェア,小さくなる順,0.628 ,0.346 ,0.622 ,,実11実12開11日12第11,,数J1数j1,第s1,数j1,一d1,開B1実e1,,一d1,開b1第b1実e1,,一d1,実e1開e1日e1学e1,
昇順,４ウ;３イ,表計算ソフトウェア,大きくなる順,0.628 ,0.346 ,0.622 ,,実11実12開11日12第11,,数J1数j1,第s1,数j1,一d1,開B1実e1,,一d1,開b1第b1実e1,,一d1,実e1開e1日e1学e1,
AVERAGE|AVERAGE関数,４ウ,表計算関数,平均値を計算する表計算関数,0.376 ,0.400 ,0.503 ,,実11実12実13実14,実S1数S2日s2,,日s2,,一d1,,実c1一c1実f1,一d1暁d1学d1,,実c1一c1実f1一f1,一d1暁d1学d1,,実f1一f1
CORREL|CORREL関数,４ウ,表計算関数,相関係数を計算する表計算関数,0.376 ,,,,実11実12実13実14,,,,,,,,,,,,,
COUNTIF|COUNTIF関数,４ウ,表計算関数,条件を満たすセルの個数を計算する表計算関数,0.376 ,0.238 ,0.192 ,,実11実12実13実14,実S1,,実s1,,実A1,実B1実b1,,,実b1,,,,
MAX|MAX関数,４ウ,表計算関数,最大値を計算する表計算関数,0.376 ,0.076 ,0.442 ,,実11実12実13実14,実S1,,,,一d1,,実c1実f1,一d1学d1,,実c1実f1一f1,一d1学d1,,実f1一f1
MEDIAN|MEDIAN関数,４ウ,表計算関数,中央値を計算する表計算関数,0.376 ,,0.332 ,,実11実12実13実14,,,,,,,実c1実f1,,,実c1実f1,,,実f1
MIN|MIN関数,４ウ,表計算関数,最小値を計算する表計算関数,0.376 ,,0.442 ,,実11実12実13実14,,,,,一d1,,実c1実f1,一d1学d1,,実c1実f1一f1,一d1学d1,,実f1一f1
STDEV.P|STDEV.P関数,４ウ,表計算関数,標準偏差を計算する表計算関数,0.376 ,,,,実11実12実13実14,,,,,,,,,,,,,
SUM|SUM関数,４ウ,表計算関数,合計を計算する表計算関数,0.376 ,0.400 ,0.530 ,,実11実12実13実14,実S1数S2日s2,,日s2,,実A1一d1,実B1実b1実e1,実c1一c1実f1,一d1暁d1学d1,実b1実e1,実c1一c1実f1一f1,一d1暁d1学d1,実e1,実f1一f1
VAR.P|VAR.P関数,４ウ,表計算関数,分散を計算する表計算関数,0.376 ,,,,実11実12実13実14,,,,,,,,,,,,,
SDGs,一般,,Sustainable Development Goals (持続可能な開発目標)。2016〜2030の15年間で達成すべき世界共通目標,0.376 ,,,東21,東12日11,,,,,,,,,,,,,
参考文献,一般,,論文やレポートを執筆するにあたって論拠とした文献,0.452 ,0.076 ,,,実11実12実13第11,実S1,,,,,,,,,,,,
スマートフォン,一般,,タッチパネルで操作できるPCに近い作りの携帯電話,0.568 ,0.453 ,,,実11実12数11数12日12,数S1日S2数s1日s1,数J1数j1,数s1日s1,数j1,,,,,,,,,
テキストエディタ,一般,,テキストファイルを作成・編集するソフト,0.376 ,0.513 ,0.541 ,,数12第11,実S2数S1数S2数s1,,実s2数s1第s1,,東A1啓A1啓A2実d1,,啓C1数C1第C1,第a1実d1啓d1,開b1第b1,日c1第c1,実d1啓d1第d1,開e1学e1,日f1第f1
文書作成ソフト|文書作成ソフトウェア,一般,,書式やフォントも含めた文書ファイルを作成・編集するソフト,0.376 ,,0.099 ,,実14日11,,,,,,啓B1,,,,,,,
ひな型|ひな形|テンプレート,一般,,頻繁に使用するパターンをあらかじめ用意しているもの,0.376 ,0.076 ,0.273 ,,実14第11,第S1,,,,,,,第a1暁d1,,,暁d1,,
フィードバック,一般,,(1) 相手の行動に対して改善点や評価を伝えること (2) 出力の一部を入力に戻すこと,0.452 ,0.400 ,0.398 ,東21,東12実11実12実13,東S2実S2,東J1,東s1実s2,東j1,東A1実A1実A2,教b1,実C1,東d1,教b1教e1,第c1,東d1,教e1,第f1
知識,一般,,ある事柄について、いろいろと知ることや、その知りえた内容,0.376 ,0.369 ,0.057 ,,実11実12実13実14,実S1実S2第S1,第J1,実s1実s2,実j2,教A1,,,,,,,,
評価,一般,,(1)どれだけの価値等があるかを見定めること (2)プログラミング言語で実行して値や結果を求めること,0.376 ,0.287 ,0.325 ,東21実21,開11日12,日S2日s2,実J2,日s2,実j2,教A1啓A2,,,東d1,,,東d1,,
問題,一般,,(1) 解答を求める問い (2) 解決すべき事柄・課題,0.376 ,0.405 ,0.057 ,,実13日11,日S2第S1日s1,実J2第J1,日s1,実j2,啓A2,,,,,,,,
トレードオフ,一般,,一方を立てれば他方がまずくなるといった、二つものの間の関係,0.805 ,0.828 ,0.864 ,,東11東12実11実12実13実14開11数12第11,実S2開S1数S1数S2日S2第S1数s1日s2,東J1実J2数J1第J1数j1日j1,実s2開s1数s1日s2第s1,東j1実j2数j1日j1,実A1啓A1啓A2,実B1開B1啓B1日B1第B1教b1実e1,,教a1啓d1,開b1教b1日b1第b1実e1教e1啓e1,,啓d1,実e1開e1教e1啓e1日e1学e1,
検索,一般,,蓄えられているものから必要な情報をさがし出すこと,0.452 ,0.483 ,0.850 ,東21,東11東12数11数12,東S1東S2数S1数S2数s1,実J2数J1数j1,東s1数s1,数j1,開A1数A1日A1第A1清a1一d1,啓B1数B1第B1教b1オe1,開C1,開a1清a1数a1第a1一d1暁d1オd1,開b1教b1数b1第b1教e1啓e1オe1,開c1啓f1,開d1清d1一d1暁d1オd1第d1,開e1教e1清e1啓e1数e1オe1学e1,啓f1
コード,多義性,,(1) 文字に対して割り振った番号ないしビット列 (2)プログラムの断片,0.426 ,0.348 ,0.368 ,,実11実12数12,数S1数S2数s1,数J1数j1,数s1,数j1,数A1,啓B1,,開a1数a1,啓e1,,開d1数d1,啓e1,
可視化,多義性,,(1)目に見えないデータなどを見やすい状態にすること (2)絵や図やグラフにして分かりやすくすること,0.692 ,,0.099 ,東21日21,東11東12実11実12日11日12第11,,,,,,日B1,,,,,,,
階層構造,多義性,,(1) 事象や認識対象の構造が下層から上層へと順 に積み重ねて構成されるること (2) 木構造,0.568 ,0.547 ,0.647 ,実21,実11実12実13日12第11,実S2日S2第S1日s2,,実s2日s2第s1,,開A1日A1第A1実a1一a1実d1一d1,数B1実e1,第C1教c1一c1,実a1一a1第a1実d1一d1学d1,数b1実e1,教c1一c1第c1教f1,実d1一d1日d1第d1学d1,実e1数e1,教f1第f1
構造化,多義性,,(1)事象や物事などの全体を定義した上での構成要素とその関係を整理すること (2)プログラムを関数や制御構造を用いて整理すること,0.692 ,0.258 ,,東21日21,東11東12実11実12日11日12第11,東S2,東J1,東s1,東j1,,,,,,,,,
信頼性,多義性,,(1)信頼できる度合い (2)機器・システムなどが誤動作や故障しにくいこと,0.541 ,0.547 ,0.454 ,東21実21,東12実13実14開11,東S1東S2実S1第S1,第J1,東s1実s1第s1,,東A1実A2清a1,,教c1,教a1清a1教d1,,教c1教f1,教d1清d1,,教f1
抽象化,多義性,,(1) 対象から注目すべき要素を抜き出し他は捨てること (2) 具体的なものを形のない概念に置き換える,0.692 ,,,日21,東11東12実11実12日11日12第11,,,,,,,,,,,,,
ファイルサーバ,,,,0.315 ,0.483 ,0.489 ,実21,実11実12実13,実S1実S2日S2日s2,実J1,実s1実s2日s2,実j1,実A1実A2啓A2一a1実d1,,実c1一c1実f1,一a1実d1オd1,,実c1一c1実f1,実d1オd1,,実f1
表,一般,,,0.315 ,0.442 ,0.395 ,実21,実11実12実13,日S2第S1日s1,実J1実J2日J1第J1,日s1,,教A1,啓B1教b1,第C1教c1,学d1,教b1,教c1教f1,学d1,,教f1
無線AP|無線LANアクセスポイント,,,,0.315 ,0.408 ,,,実11実12実13,日s1日s2,実J2日j1,実s2日s1日s2,日j1,,,,,,,,,
24ビットカラー|24ビットフルカラー,,,,0.315 ,0.400 ,0.192 ,,実11実12実13,実S1第S1,第J1,実s1第s1,,,第B1,実C1実c1,,,実c1,,,
リレーションシップ,,,,0.315 ,0.346 ,0.599 ,実21,実11実12実14,,実J1実J2第J1,,,,実B1啓B1実b1教b1実e1,,暁d1,実b1教b1実e1教e1,,暁d1,実e1教e1,
誤り検出符号,,,,0.315 ,0.299 ,0.051 ,,実11実12実13,実S1実S2,,実s1実s2,,,,実C1,,,,,,
ジャギ|ジャギー,,,,0.315 ,0.280 ,0.325 ,,実11実12実13,実S1実S2,,実s2,,東A1数A1,数B1,数C1,東d1,数b1,,東d1,,
パブリックドメイン,,,,0.315 ,0.280 ,,,実11実12実13,日S1日s1,,日s1,,,,,,,,,,
プリンタサーバ|プリントサーバ,,,,0.315 ,0.258 ,0.442 ,実21,実11実12実13,実S1,実J1,実s1,実j1,実A1実A2実d1,,実c1一c1実f1,実d1,,実c1一c1実f1,実d1,,実f1
ベクタグラフィックス|ベクターグラフィクス,,,,0.315 ,0.239 ,0.395 ,,実11実12実13,,実J1,,実j1,実A1第A1,実B1第B1実b1,第C1,第a1,実b1,第c1,第d1,,第f1
アプリケーション層,,,,0.315 ,0.239 ,0.293 ,,実11実12実13,,実J1,,実j1,,,数C1,,,数c1,,,数f1
ラスタグラフィックス,,,,0.315 ,0.239 ,0.192 ,,実11実12実13,,実J1,,実j1,実A1,実B1実b1,,,実b1,,,,
IF関数,,,,0.315 ,0.238 ,0.454 ,,実11実12実14,実S1,,実s1,,実A1一d1,実B1実b1実e1,実c1実f1,一d1,実b1実e1,実c1実f1一f1,一d1,実e1,実f1一f1
母集団,,,,0.315 ,0.238 ,,実21,実11実12実13,第S1,第J1,第s1,,,,,,,,,,
要素,多義性,,,0.315 ,0.101 ,0.344 ,実21,実11実12実13,,数J1,,,,教b1,数C1一c1,,教b1教e1,一c1,,教e1,
インデント,,,,0.315 ,0.076 ,0.388 ,実21,実11実12実13,,,第s1,,実a1実d1,,,実a1第a1実d1,,,実d1第d1,,
解凍,,,,0.315 ,,0.641 ,,実11実12実13,,,,,実A1実A2数A1実a1一a1実d1一d1,実B1開B1実b1実e1,数C1日C1一c1実f1,実a1一a1実d1一d1学d1,実b1実e1,開c1一c1日c1実f1一f1,実d1一d1日d1学d1,実e1日e1,実f1一f1日f1
高水準言語|高級言語,,,,0.315 ,,0.490 ,実21日21,実11実12実13,,,,,,啓B1数B1,,,数b1啓e1,,,啓e1数e1,
復元,,,,0.315 ,,0.455 ,,実11実12実13,,,,,実a1,実B1啓B1実b1実e1,,実a1,実b1実e1,開c1,,実e1,
命令レジスタ,,,,0.315 ,,0.310 ,,実11実12実13,,,,,,啓B1,,,啓e1,,,啓e1,
フッタ,,,,0.315 ,,0.273 ,,実11実12実13,,,,,日A1,,,学d1,,,学d1,,
<br>|br,,,,0.315 ,,0.057 ,,実11実12実13,,,,,実A2,,,,,,,,
<head>,,,,0.315 ,,0.057 ,,実11実12実13,,,,,実A2,,,,,,,,
<img src >|<img src= >|<img>,,,,0.315 ,,0.057 ,,実11実12実13,,,,,実A2,,,,,,,,
<title>,,,,0.315 ,,0.057 ,,実11実12実13,,,,,実A2,,,,,,,,
<a href >|<a href= >,,,,0.315 ,,,,実11実12実13,,,,,,,,,,,,,
インタプリタ型言語|インタプリタ言語,,,,0.315 ,,,日21,実11実12実13,,,,,,,,,,,,,
クローズドデータ,,,,0.315 ,,,,実11実12実13,,,,,,,,,,,,,
コンパイラ型言語|コンパイラ言語,,,,0.315 ,,,日21,実11実12実13,,,,,,,,,,,,,
スライドマスタ|スライドマスター,,,,0.315 ,,,,実11実12実13,,,,,,,,,,,,,
セレクタ,,,,0.315 ,,,,実11実12実13,,,,,,,,,,,,,
データレジスタ,,,,0.315 ,,,,実11実12実13,,,,,,,,,,,,,
デフォルト,,,,0.315 ,,,,実11実12実13,,,,,,,,,,,,,
プロパティ,,,,0.315 ,,,実21,実11実12実13,,,,,,,,,,,,,
リンク層,,,,0.315 ,,,,実11実12実13,,,,,,,,,,,,,
ローカル変数,,,,0.315 ,,,実21,実11実12実13,,,,,,,,,,,,,
演繹型,,,,0.315 ,,,,実11実12実14,,,,,,,,,,,,,
最小二乗法,,,,0.315 ,,,実21日21,実11実12実13,,,,,,,,,,,,,
双括式,,,,0.315 ,,,,実11実12実14,,,,,,,,,,,,,
低水準言語|低級言語,,,,0.315 ,,,日21,実11実12実13,,,,,,,,,,,,,
頭括式,,,,0.315 ,,,,実11実12実14,,,,,,,,,,,,,
匿名加工情報,,,,0.315 ,,,実21,実11実12実14,,,,,,,,,,,,,
比率尺度,,,,0.315 ,,,,実11実12実13,,,,,,,,,,,,,
尾括式,,,,0.315 ,,,,実11実12実14,,,,,,,,,,,,,
偏差,,,,0.315 ,,,,実11実12実14,,,,,,,,,,,,,
命令解読器,,,,0.315 ,,,,実11実12実13,,,,,,,,,,,,,
予約語,,,,0.315 ,,,実21,実11実12実13,,,,,,,,,,,,,
要約文,,,,0.315 ,,,,実11実12実13,,,,,,,,,,,,,
論理エラー,,,,0.315 ,,,,実11実12実13,,,,,,,,,,,,,
迷惑メール,１イ,,,0.295 ,0.808 ,0.325 ,,数11数12,東S1東S2実S2数S1数S2日S2第S1数s1日s1日s2,東J1数J1第J1数j1日j1,東s1実s2数s1日s1日s2第s1,東j1数j1日j1,東A1実A1教A1啓A1,数B1,第C1,,,,,,
プロバイダ責任制限法,１イ,,,0.295 ,0.702 ,0.178 ,東21日21,東11東12,東S1東S2実S1実S2数S1日S1日S2日s1,実J2数J1日J1日j1,東s1実s1実s2日s1第s1,日j1,教A1第A1,,日C1,,,,,,
PNG|png,,,,0.295 ,0.645 ,0.569 ,,東11東12,東S2実S2日S1第S1日s1,第J1,東s1実s2日s1第s1,,東A1実A2教A1日A1第A1日a1,,実C1啓C1日C1第C1,日a1第a1東d1,日b1第b1,日c1第c1,東d1日d1第d1,日e1学e1,清f1第f1
セキュリティ|セキュリティー,１イ,,,0.295 ,0.634 ,0.811 ,,数11数12,数S1数S2第S1数s1日s1,実J1実J2数J1第J1数j1,東s1数s1日s1,実j1実j2数j1,実A2教A1日A1実a1清a1一a1日a1実d1一d1,啓B1数B1実e1,実C1啓C1数C1日C1実c1教c1実f1,実a1開a1清a1一a1日a1東d1実d1一d1暁d1,実e1啓e1,実c1教c1数c1日c1実f1教f1啓f1一f1,東d1実d1開d1清d1一d1日d1暁d1,実e1開e1清e1啓e1日e1,実f1教f1啓f1数f1一f1日f1
活版印刷,,,,0.295 ,0.621 ,0.223 ,,数11数12,開S1数S1数S2日S2数s1日s1日s2,数J1数j1日j1,開s1数s1日s1日s2,数j1日j1,,数B1,,第a1,,,第d1,数e1,
プログラム言語,,,,0.295 ,0.605 ,0.449 ,,実11実12,,東J1実J2日J1日j1,,東j1日j1,東A1,啓B1,,,啓e1,,,開e1清e1啓e1,清f1
ログイン|ログオン,,,,0.295 ,0.580 ,0.589 ,,実11実12,実S2数S1日S2数s1日s2,数J1数j1,実s2数s1日s2,数j1,東A1啓A1啓A2日A1清a1日a1,,数C1,清a1日a1東d1学d1,,数c1,東d1清d1日d1学d1,清e1,清f1数f1
ユビキタスコンピューティング|ユビキタス・コンピューティング,,,,0.295 ,0.580 ,0.462 ,,数11数12,数S1数S2第S1数s1日s1,数J1第J1数j1,数s1日s1第s1,数j1,実A1第A1実a1日a1,啓B1数B1日B1,啓C1日C1第C1,実a1日a1,数b1日b1,開c1,,,
e-Gov|電子政府,,,,0.295 ,0.580 ,0.368 ,,実11実12,実S1実S2数s1日s2,数j1,実s1実s2数s1日s2,数j1,実A1清a1,,実c1一c1,清a1学d1,,実c1一c1,学d1,,
インターネット依存症,,,,0.295 ,0.580 ,,,数11数12,数S1数S2第S1数s1日s2,数J1第J1数j1,数s1日s2第s1,数j1,,,,,,,,,
電子書籍,,,,0.295 ,0.552 ,0.186 ,,数11数12,数S1数S2数s1,数J1日J1数j1日j1,数s1,数j1日j1,,数B1,,,数b1,,,,
パケット通信,,,,0.295 ,0.536 ,0.414 ,,数11数12,数S1第S1数s1,東J1数J1第J1数j1,東s1数s1,数j1,,,数C1一c1,,,数c1一c1,日d1,,数f1
度数,,,,0.295 ,0.536 ,0.310 ,実21,数11数12,数S1,数J1日J1日j1,,実j1日j1,,実e1,,,実e1,,,実e1,
階級,,,,0.295 ,0.536 ,,実21,数11数12,数S1,数J1日J1日j1,,実j1日j1,,,,,,,,,
文書処理ソフトウェア,,,,0.295 ,0.494 ,0.578 ,,東11東12,東S1東S2日S2日s2,東J1実J2,東s1日s2,東j1実j2,実A2開A1日A1実a1日a1実d1,開B1実e1,オf1,実a1開a1日a1東d1実d1,開b1実e1啓e1,オf1,東d1実d1開d1,実e1開e1啓e1,オf1
MIDI|MIDI（Musical Instruments Digital Interface）|MIDI（ミディ）|Musical Instruments Digital Interface|midi,,,,0.295 ,0.489 ,0.820 ,東21,東11東12,東S1東S2,東J1日j1,東s1開s1第s1,東j1日j1,東A1実A1実A2開A1教A1啓A1第A1実a1清a1一a1日a1実d1,啓B1,実C1開C1啓C1日C1実c1一c1実f1,実a1開a1教a1清a1一a1日a1東d1実d1教d1学d1,啓e1,実c1開c1一c1日c1実f1啓f1,東d1実d1開d1教d1清d1学d1,啓e1,実f1清f1啓f1日f1
VDT障害,,,,0.295 ,0.483 ,0.108 ,,東11東12,東S1東S2数S1数S2数s1,数J1数j1,東s1数s1,数j1,,啓B1,啓C1,,,,,,
サーチエンジン|サーチ・エンジン,,,,0.295 ,0.472 ,0.562 ,,数11数12,東S2数S1数S2数s1,数J1数j1,東s1数s1,実j1数j1,教A1啓A2数A1,啓B1,数C1教c1,開a1数a1暁d1学d1,開b1,教c1数c1教f1啓f1,開d1数d1暁d1学d1,開e1,教f1啓f1数f1
セル,,,,0.295 ,0.467 ,0.715 ,東21実21,東11東12,東S2実S1第S1,第J1,東s1実s1,,教A1数A1日A1清a1日a1,啓B1数B1実e1オe1,数C1第C1,清a1数a1日a1第a1学d1,数b1第b1実e1オe1,数c1第c1一f1,清d1数d1第d1学d1,実e1数e1オe1学e1,数f1一f1第f1
レーダーチャート|レーダー図,,,,0.295 ,0.467 ,0.340 ,,実13実14,実S1数S1日s2,実J2数J1,実s1日s2,,実A1開A1,,第C1,開a1,,日c1,開d1,日e1,日f1
