用語,コード,カテゴリ,説明,総意率3,総意率2,総意率1,情報Ⅱ,情報Ⅰ,社情H29,情科H29,社情H25,情科H25,情報A3,情報B3,情報C3,情報A2,情報B2,情報C2,情報A1,情報B1,情報C1
協働,１ア,問題解決,同じ目的のために複数の人が対等な立場で協力して働くこと,0.376 ,0.332 ,0.273 ,,東12開11,東S1開S1,,開s1,,日a1,,,日a1,,,日d1,,
KJ法,１ア;２イ,問題解決,アイデアをまとめる手法で、キーワードなどを紙に書いて配置してゆく,0.767 ,0.830 ,0.328 ,実21,東11東12実13実14数11数12日12第11,東S1東S2実S1実S2開S1数S1数S2日S1第S1日s1,東J1実J1実J2数J1第J1,東s1実s1実s2開s1日s1第s1,東j1実j1実j2,東A1実A1教A1,日B1,実C1第C1実c1,,,実c1,,,
ロジックツリー,１ア;２イ,問題解決,事柄に対して、問題や原因などをツリー状に書き出して問題解決する手法,0.541 ,0.442 ,,,東11東12日11第11,日S1第S1,日J1第J1日j1,,日j1,,,,,,,,,
PERT|PERT図,１ア;２イ,問題解決,タスク間の依存関係を表現する図法,0.473 ,0.239 ,,東21日21,東11日11第11,第S1,日J1第J1,,,,,,,,,,,
ガントチャート,１ア;２イ,問題解決,時間を横軸に、作業内容を縦軸に配した棒グラフ状の一覧表,0.628 ,0.405 ,,東21実21日21,東11東12実13日11第11,第S1,東J1日J1第J1,開s1,,,,,,,,,,
検索エンジン,１ア;４ア,問題解決,多数のWebサイトから関心のあるサイトを検索できるしくみ,0.473 ,0.702 ,0.956 ,東21,東12実14第11,東S1東S2実S1数S2日S1日S2第S1日s1日s2,東J1第J1日j1,東s1実s1日s1日s2,東j1実j1日j1,東A1実A1実A2開A1啓A1啓A2日A1第A1実a1清a1一a1日a1実d1一d1,実B1啓B1日B1第B1実b1実e1,実C1日C1第C1実c1一c1実f1オf1,実a1開a1教a1清a1一a1日a1第a1東d1実d1教d1啓d1一d1暁d1オd1学d1,実b1開b1日b1実e1,実c1一c1日c1第c1実f1啓f1一f1オf1,東d1実d1開d1教d1清d1啓d1一d1日d1暁d1オd1第d1学d1,実e1開e1清e1日e1,実f1清f1啓f1一f1日f1オf1第f1
アンケート,１ア;４ウ,問題解決,事柄についての意見や感想を一定の書式に記入してもらうなどして集めるもの,0.663 ,0.640 ,0.491 ,東21,東11東12数12日11日12第11,東S1東S2数S2日S1日S2第S1日s2,日J1,東s1日s2第s1,,東A1教A1啓A1日A1日a1,,啓C1日C1,日a1東d1,,日c1啓f1,東d1日d1,清e1日e1,啓f1日f1
インタビュー|インタビュー調査,１ア;４ウ,問題解決,事柄についての意見や感想を対面で聞き取ること,0.541 ,0.555 ,0.413 ,東21,東12日11日12第11,東S1東S2日S2日s1日s2,東J1日J1日j1,東s1日s1日s2第s1,日j1,教A1啓A1日a1,,啓C1,日a1東d1,,啓f1,東d1,,啓f1
モラル|情報モラル,１イ,情報モラル,人が情報を扱う上で求められる道徳,0.809 ,0.801 ,0.641 ,東21,東11東12実13開11数11数12日12第11,東S1東S2実S1開S1数S1数S2日S1第S1日s1,東J1数J1第J1,東s1実s1開s1日s1第s1,東j1,開A1教A1啓A1啓A2日A1第A1清a1日a1,開B1啓B1教b1,開C1啓C1教c1,教a1清a1日a1教d1啓d1,教b1第b1教e1,開c1教c1教f1啓f1,教d1清d1啓d1日d1,教e1学e1,教f1啓f1
ネットいじめ,１イ,情報モラル,ネット環境におけるいじめ,0.426 ,0.258 ,,,東11東12数11,東S1数S1,数J1日J1,,,,,,,,,,,
